
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             783 |           Short |           1.811  |        16563.84 |        16566.69 |       Stop loss | -3.0062599999997364
      000000002 |             814 |             815 |            Long |           1.807  |        16547.32 |         16541.5 |       Stop loss | -2.9815500000026294
      000000003 |             894 |             895 |            Long |           1.802  |        16548.46 |         16546.3 |       Stop loss | -2.9732999999960668
      000000004 |             938 |             962 |            Long |           1.797  |        16544.94 |        16563.68 |     Take profit |          29.722
      000000005 |             992 |             994 |           Short |           1.847  |        16573.78 |         16584.3 |       Stop loss | -3.0660199999997313
      000000006 |            1028 |            1035 |           Short |           1.842  |         16570.2 |         16572.5 |       Stop loss | -3.057719999999732
      000000007 |            1068 |            1070 |           Short |           1.836  |        16580.73 |        16585.92 |       Stop loss | -3.047759999999733
      000000008 |            1147 |            1151 |           Short |           1.828  |         16602.6 |        16605.22 |       Stop loss | -3.0344799999997343
      000000009 |            1191 |            1192 |           Short |           1.822  |        16608.72 |        16611.02 |       Stop loss | -3.0245199999997348
      000000010 |            1225 |            1226 |           Short |           1.815  |        16620.74 |         16628.0 |       Stop loss | -3.012899999999736
      000000011 |            1443 |            1444 |           Short |           1.809  |        16622.58 |         16624.5 |       Stop loss | -3.002939999999737
      000000012 |            1530 |            1531 |            Long |            1.81  |        16564.78 |        16563.04 |       Stop loss | -3.0045999999997366
      000000013 |            1666 |            1667 |           Short |             1.8  |        16611.33 |        16616.04 |       Stop loss | -2.987999999999738
      000000014 |            1704 |            1707 |           Short |           1.791  |        16635.95 |        16639.16 |       Stop loss | -2.973059999999739
      000000015 |            1800 |            1805 |           Short |           1.785  |        16650.28 |        16655.18 |       Stop loss | -2.980950000003377
      000000016 |            1891 |            1892 |           Short |            1.77  |        16732.99 |        16735.89 |       Stop loss | -2.9558999999969093
      000000017 |            1962 |            1983 |           Short |           1.763  |        16749.92 |        16731.86 |     Take profit |           29.53
      000000018 |            2137 |            2138 |            Long |            1.82  |        16711.85 |        16704.07 |       Stop loss | -3.0393999999968218
      000000019 |            2175 |            2204 |           Short |           1.811  |        16745.13 |        16727.53 |     Take profit |          30.334
      000000020 |            2237 |            2240 |            Long |           1.869  |        16716.94 |        16714.29 |       Stop loss | -3.121229999996736
      000000021 |            2270 |            2271 |            Long |           1.865  |        16701.66 |        16699.28 |       Stop loss | -3.1145499999967434
      000000022 |            2303 |            2304 |            Long |           1.859  |        16705.64 |        16703.69 |       Stop loss | -3.1045299999967537
      000000023 |            2414 |            2416 |           Short |            1.85  |        16734.81 |        16737.51 |       Stop loss | -3.08949999999677
      000000024 |            2543 |            2544 |            Long |           1.847  |        16714.12 |         16710.0 |       Stop loss | -3.0844899999967748
      000000025 |            2670 |            2684 |           Short |           1.839  |        16730.22 |        16732.95 |       Stop loss | -3.0711299999967885
      000000026 |            2764 |            2765 |           Short |           1.833  |        16743.39 |         16751.0 |       Stop loss | -3.0611100000034677
      000000027 |            2800 |            2801 |            Long |            1.83  |        16716.31 |        16713.84 |       Stop loss | -3.056100000003462
      000000028 |            2845 |            2854 |            Long |           1.826  |        16707.02 |         16701.9 |       Stop loss | -3.0494200000034546
      000000029 |            3377 |            3378 |            Long |           1.819  |        16714.59 |         16710.5 |       Stop loss | -3.037730000003441
      000000030 |            3413 |            3414 |            Long |           1.814  |        16708.18 |         16705.4 |       Stop loss | -3.0293800000034317
      000000031 |            3445 |            3453 |           Short |           1.806  |        16734.01 |        16743.74 |       Stop loss | -3.0160200000034165
      000000032 |            3662 |            3688 |            Long |           1.803  |        16717.83 |        16715.86 |       Stop loss | -3.011010000003411
      000000033 |            3745 |            3746 |           Short |           1.795  |         16734.9 |         16740.0 |       Stop loss | -2.9976499999968653
      000000034 |            3794 |            3795 |            Long |           1.798  |        16661.28 |        16654.35 |       Stop loss | -3.0026599999968604
      000000035 |            3888 |            3890 |            Long |           1.795  |        16636.31 |        16634.12 |       Stop loss | -2.9796999999997387
      000000036 |            4022 |            4023 |            Long |            1.79  |        16638.72 |        16635.01 |       Stop loss | -2.9713999999997394
      000000037 |            4176 |            4184 |           Short |            1.78  |        16673.35 |        16675.59 |       Stop loss | -2.9726000000033674
      000000038 |            4366 |            4389 |            Long |           1.777  |        16657.28 |        16677.73 |     Take profit |          29.605
      000000039 |            4424 |            4425 |           Short |           1.825  |        16703.35 |        16707.64 |       Stop loss | -3.0477500000034525
      000000040 |            4471 |            4473 |           Short |           1.817  |         16727.6 |        16732.93 |       Stop loss | -3.0343900000034374
      000000041 |            4522 |            4531 |           Short |           1.802  |        16815.54 |        16818.65 |       Stop loss | -3.0273600000005247
      000000042 |            4566 |            4567 |           Short |            1.79  |        16878.98 |        16882.56 |       Stop loss | -3.0250999999976558
      000000043 |            4811 |            4812 |           Short |           1.784  |        16886.68 |        16891.72 |       Stop loss | -3.0149599999976635
      000000044 |            4917 |            4922 |            Long |           1.783  |        16844.14 |        16841.15 |       Stop loss | -2.9954400000005186
      000000045 |            5245 |            5246 |            Long |           1.782  |        16805.55 |        16800.01 |       Stop loss | -2.9937600000005187
      000000046 |            5424 |            5425 |           Short |           1.764  |        16919.74 |        16926.66 |       Stop loss | -2.98115999999769
      000000047 |            5474 |            5475 |            Long |           1.763  |        16877.71 |        16875.71 |       Stop loss | -2.979469999997691
      000000048 |            5564 |            5565 |            Long |           1.766  |        16798.45 |        16789.28 |       Stop loss | -2.966880000000514
      000000049 |            5774 |            5775 |           Short |           1.754  |        16863.16 |        16865.98 |       Stop loss | -2.9642599999977026
      000000050 |            5876 |            5879 |            Long |           1.752  |        16835.06 |        16832.62 |       Stop loss | -2.94336000000051
      000000051 |            5988 |            5989 |            Long |           1.748  |        16825.64 |         16823.0 |       Stop loss | -2.9366400000005086
      000000052 |            6182 |            6198 |            Long |           1.744  |         16814.7 |        16812.18 |       Stop loss | -2.9299200000005077
      000000053 |            6258 |            6259 |            Long |           1.738  |        16818.21 |        16816.51 |       Stop loss | -2.9198400000005056
      000000054 |            6313 |            6315 |            Long |           1.734  |        16801.93 |        16798.77 |       Stop loss | -2.9131200000005046
      000000055 |            6558 |            6559 |            Long |           1.728  |        16810.47 |        16804.57 |       Stop loss | -2.903040000000503
      000000056 |            6609 |            6610 |            Long |           1.724  |         16801.3 |        16796.41 |       Stop loss | -2.8963200000005016
      000000057 |            6708 |            6709 |           Short |           1.713  |         16863.9 |        16869.19 |       Stop loss | -2.8949699999977567
      000000058 |            6846 |            6853 |            Long |           1.713  |        16811.05 |        16808.16 |       Stop loss | -2.8778400000004987
      000000059 |            7123 |            7126 |            Long |           1.704  |        16845.29 |        16843.13 |       Stop loss | -2.862720000000496
      000000060 |            7158 |            7159 |            Long |             1.7  |        16835.05 |        16833.03 |       Stop loss | -2.8560000000004946
      000000061 |            7346 |            7348 |            Long |           1.695  |        16831.65 |        16829.75 |       Stop loss | -2.8476000000004933
      000000062 |            7468 |            7469 |            Long |           1.692  |        16811.92 |         16810.0 |       Stop loss | -2.8425599999943367
