
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             783 |           Short |           1.811  |        16563.84 |        16566.69 |       Stop loss |          -5.161
      000000002 |             815 |             816 |            Long |           1.804  |        16545.98 |        16539.05 |       Stop loss | -2.976599999996062
      000000003 |             870 |             924 |           Short |           1.797  |        16557.55 |        16540.02 |     Take profit |          29.758
      000000004 |             956 |             957 |           Short |           1.851  |        16554.93 |         16558.5 |       Stop loss | -3.072659999999731
      000000005 |             987 |             988 |           Short |           1.843  |        16575.77 |        16578.27 |       Stop loss | -3.0593799999997318
      000000006 |            1025 |            1027 |           Short |           1.839  |         16566.1 |         16572.0 |       Stop loss | -3.0527399999997322
      000000007 |            1074 |            1075 |           Short |           1.832  |        16576.64 |        16580.78 |       Stop loss | -3.0411199999997334
      000000008 |            1130 |            1131 |           Short |           1.825  |        16591.68 |        16594.19 |       Stop loss | -3.0294999999997345
      000000009 |            1210 |            1215 |           Short |           1.817  |        16610.97 |        16612.94 |       Stop loss | -3.0162199999997354
      000000010 |            1334 |            1335 |            Long |           1.813  |        16597.67 |        16595.93 |       Stop loss | -3.009579999999736
      000000011 |            1392 |            1393 |           Short |           1.806  |        16618.43 |        16620.64 |       Stop loss | -2.997959999999737
      000000012 |            1482 |            1494 |            Long |           1.804  |        16586.61 |        16584.63 |       Stop loss | -2.9946399999997375
      000000013 |            1674 |            1677 |           Short |           1.787  |        16695.43 |        16675.62 |     Take profit |          29.843
      000000014 |            1708 |            1709 |           Short |           1.846  |        16640.18 |        16643.58 |       Stop loss | -3.0643599999997315
      000000015 |            1792 |            1793 |           Short |           1.839  |        16657.67 |        16662.94 |       Stop loss | -3.0711300000034787
      000000016 |            1926 |            1927 |           Short |           1.826  |        16726.76 |        16733.28 |       Stop loss | -3.0494200000034546
      000000017 |            1964 |            1965 |           Short |           1.819  |        16742.46 |         16749.2 |       Stop loss | -3.037730000003441
      000000018 |            2170 |            2171 |           Short |           1.813  |        16742.25 |         16744.8 |       Stop loss |          -4.623
      000000019 |            2242 |            2243 |            Long |           1.808  |        16717.59 |        16715.26 |       Stop loss | -3.01936000000342
      000000020 |            2316 |            2320 |            Long |           1.806  |        16680.75 |        16678.95 |       Stop loss | -3.0160199999968462
      000000021 |            2373 |            2374 |           Short |           1.796  |        16724.29 |        16726.55 |       Stop loss | -2.999319999996864
      000000022 |            2462 |            2471 |            Long |           1.792  |        16712.49 |        16708.24 |       Stop loss | -2.99264000000339
      000000023 |            2523 |            2525 |            Long |           1.786  |        16715.59 |        16713.78 |       Stop loss | -2.982620000003379
      000000024 |            2587 |            2590 |           Short |            1.78  |        16723.56 |        16725.49 |       Stop loss | -2.9725999999968917
      000000025 |            2678 |            2679 |           Short |           1.774  |         16728.6 |        16730.48 |       Stop loss | -2.962580000003356
      000000026 |            2746 |            2752 |           Short |           1.768  |        16733.54 |        16735.92 |       Stop loss | -2.9525599999969128
      000000027 |            2893 |            2903 |            Long |           1.769  |        16680.49 |        16677.09 |       Stop loss |          -6.015
      000000028 |            3075 |            3084 |            Long |           1.759  |        16669.65 |        16688.02 |     Take profit |          29.323
      000000029 |            3199 |            3200 |           Short |           1.808  |        16699.36 |        16706.29 |       Stop loss | -3.019359999996843
      000000030 |            3234 |            3235 |           Short |           1.801  |         16721.6 |         16724.0 |       Stop loss |          -4.322
      000000031 |            3277 |            3278 |           Short |           1.791  |         16737.3 |        16739.01 |       Stop loss | -2.990970000003388
      000000032 |            3388 |            3395 |            Long |           1.788  |        16714.84 |        16712.38 |       Stop loss | -2.9859600000033826
      000000033 |            3460 |            3462 |           Short |           1.779  |         16747.2 |        16749.25 |       Stop loss | -2.9709299999968932
      000000034 |            3525 |            3584 |           Short |           1.775  |        16740.94 |        16723.56 |     Take profit |          29.713
      000000035 |            3614 |            3615 |            Long |            1.83  |        16718.85 |        16716.88 |       Stop loss |          -3.605
      000000036 |            3712 |            3715 |           Short |           1.823  |        16729.52 |        16731.52 |       Stop loss | -3.0444099999968164
      000000037 |            3781 |            3782 |            Long |           1.824  |        16669.21 |        16661.92 |       Stop loss | -3.046079999996815
      000000038 |            3877 |            3878 |            Long |           1.821  |        16647.82 |        16645.26 |       Stop loss | -3.022859999999735
      000000039 |            3967 |            3968 |            Long |           1.817  |         16631.6 |         16629.8 |       Stop loss | -3.0162199999997354
      000000040 |            4051 |            4052 |            Long |           1.812  |        16632.31 |        16626.05 |       Stop loss | -3.0079199999997366
      000000041 |            4260 |            4261 |           Short |           1.802  |        16673.53 |         16677.3 |       Stop loss | -3.009340000003409
      000000042 |            4309 |            4358 |           Short |           1.796  |        16678.97 |        16662.02 |     Take profit |          29.957
      000000043 |            4394 |            4395 |           Short |           1.848  |        16697.25 |        16700.94 |       Stop loss | -3.0861599999967733
      000000044 |            4445 |            4446 |           Short |           1.841  |        16707.41 |        16725.53 |       Stop loss | -3.074470000003483
      000000045 |            4477 |            4478 |           Short |           1.832  |        16737.77 |        16744.33 |       Stop loss | -3.059439999996801
      000000046 |            4529 |            4530 |           Short |           1.819  |         16802.9 |        16817.01 |       Stop loss | -3.0559200000005293
      000000047 |            4616 |            4617 |           Short |           1.808  |        16862.35 |        16866.12 |       Stop loss | -3.0555200000042095
      000000048 |            4808 |            4810 |           Short |           1.801  |        16874.99 |        16881.15 |       Stop loss |         -11.094
      000000049 |            5136 |            5143 |            Long |           1.786  |        16826.36 |        16824.56 |       Stop loss | -3.00048000000052
      000000050 |            5194 |            5198 |            Long |           1.783  |        16810.97 |        16832.11 |     Take profit |          29.972
      000000051 |            5236 |            5237 |            Long |           1.836  |        16810.62 |        16799.29 |       Stop loss | -3.0844800000005343
      000000052 |            5280 |            5281 |           Short |           1.827  |        16845.33 |         16852.5 |       Stop loss | -3.069359999993885
      000000053 |            5370 |            5371 |           Short |           1.817  |        16882.01 |        16906.02 |       Stop loss | -3.0707300000042306
      000000054 |            5738 |            5777 |           Short |           1.813  |        16867.49 |        16877.64 |       Stop loss | -3.0639699999976253
      000000055 |            5847 |            5850 |            Long |           1.812  |        16834.16 |         16831.9 |       Stop loss | -3.0441600000005273
      000000056 |            6167 |            6168 |            Long |           1.808  |        16817.55 |         16814.5 |       Stop loss | -3.0374400000005264
      000000057 |            6210 |            6211 |            Long |           1.803  |        16810.15 |        16807.64 |       Stop loss | -3.0290400000005246
