
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             783 |           Short |           1.811  |        16563.84 |        16566.69 |       Stop loss | -3.0062599999997364
      000000002 |             816 |             870 |            Long |           1.808  |        16539.23 |        16556.15 |     Take profit |          29.904
      000000003 |             900 |             904 |            Long |           1.862  |        16544.93 |        16542.78 |       Stop loss | -3.0723000000027096
      000000004 |             934 |             936 |            Long |           1.856  |        16545.28 |        16543.31 |       Stop loss | -3.062399999995949
      000000005 |             973 |             975 |           Short |           1.849  |        16561.69 |        16567.73 |       Stop loss | -3.069339999999731
      000000006 |            1007 |            1009 |           Short |           1.842  |        16571.12 |        16572.87 |       Stop loss | -3.057719999999732
      000000007 |            1093 |            1094 |           Short |           1.835  |        16589.22 |        16595.93 |       Stop loss | -3.046099999999733
      000000008 |            1145 |            1146 |           Short |           1.827  |        16604.51 |         16606.8 |       Stop loss | -3.032819999999734
      000000009 |            1186 |            1189 |           Short |           1.822  |        16606.47 |        16609.53 |       Stop loss | -3.0245199999997348
      000000010 |            1243 |            1268 |           Short |           1.815  |        16617.31 |        16600.67 |     Take profit |          30.165
      000000011 |            1346 |            1354 |            Long |           1.872  |         16595.3 |        16592.24 |       Stop loss | -3.107519999999728
      000000012 |            1460 |            1461 |            Long |           1.866  |        16598.15 |        16596.01 |       Stop loss | -3.0975599999997288
      000000013 |            1499 |            1500 |            Long |           1.862  |        16588.35 |        16576.86 |       Stop loss | -3.090919999999729
      000000014 |            1666 |            1667 |           Short |           1.853  |        16611.33 |        16616.04 |       Stop loss | -3.0759799999997304
      000000015 |            1793 |            1805 |           Short |           1.843  |        16652.99 |        16655.18 |       Stop loss | -3.0778099999967816
      000000016 |            1887 |            1888 |           Short |            1.83  |        16727.93 |        16730.81 |       Stop loss | -3.0560999999968046
      000000017 |            2176 |            2228 |           Short |           1.823  |        16739.52 |        16721.86 |     Take profit |          30.517
      000000018 |            2264 |            2296 |            Long |           1.883  |        16689.78 |        16707.11 |     Take profit |          31.427
      000000019 |            2326 |            2330 |            Long |           1.938  |        16700.08 |         16697.0 |       Stop loss | -3.236460000003666
      000000020 |            2372 |            2373 |           Short |            1.93  |        16724.89 |        16727.21 |       Stop loss | -3.223100000003651
      000000021 |            2413 |            2414 |           Short |           1.923  |        16733.78 |        16736.03 |       Stop loss | -3.211410000003638
      000000022 |            2459 |            2460 |            Long |            1.92  |        16710.88 |        16708.17 |       Stop loss | -3.206400000003632
      000000023 |            2515 |            2526 |            Long |           1.913  |        16715.36 |        16709.24 |       Stop loss | -3.194710000003619
      000000024 |            2585 |            2596 |           Short |           1.907  |        16725.46 |        16728.75 |       Stop loss | -3.1846900000036076
      000000025 |            2629 |            2632 |           Short |             1.9  |        16730.91 |        16734.73 |       Stop loss | -3.173000000003594
      000000026 |            2860 |            2861 |            Long |           1.898  |        16701.44 |        16697.92 |       Stop loss | -3.1696599999966857
      000000027 |            2950 |            2956 |            Long |           1.895  |        16677.89 |        16675.24 |       Stop loss | -3.164649999996691
      000000028 |            3254 |            3256 |           Short |           1.883  |        16736.79 |        16743.48 |       Stop loss | -3.1446099999967116
      000000029 |            3381 |            3382 |            Long |           1.879  |        16717.87 |        16715.05 |       Stop loss | -3.137929999996719
      000000030 |            3469 |            3470 |           Short |            1.87  |        16746.33 |        16749.26 |       Stop loss | -3.1228999999967346
      000000031 |            3602 |            3611 |            Long |           1.868  |        16720.45 |        16717.16 |       Stop loss | -3.119560000003534
      000000032 |            3733 |            3734 |           Short |           1.859  |        16743.64 |        16746.03 |       Stop loss | -3.1045300000035168
      000000033 |            3796 |            3797 |            Long |           1.862  |        16670.39 |        16663.53 |       Stop loss | -3.109539999996749
      000000034 |            3902 |            3908 |            Long |           1.862  |        16620.72 |         16637.6 |     Take profit |          30.946
      000000035 |            3938 |            3939 |            Long |           1.916  |        16632.28 |        16629.15 |       Stop loss | -3.180559999999721
      000000036 |            4216 |            4221 |            Long |           1.908  |        16653.73 |         16651.3 |       Stop loss | -3.186359999996668
      000000037 |            4268 |            4269 |           Short |           1.899  |        16684.63 |        16690.65 |       Stop loss | -3.1713299999966837
      000000038 |            4463 |            4464 |           Short |           1.889  |        16718.23 |        16720.24 |       Stop loss | -3.1546300000035736
      000000039 |            4535 |            4536 |           Short |           1.872  |        16820.33 |        16828.41 |       Stop loss | -3.1449599999937345
      000000040 |            4580 |            4581 |           Short |           1.862  |        16862.34 |        16864.03 |       Stop loss | -3.1467799999975616
      000000041 |            4754 |            4755 |           Short |           1.855  |        16871.38 |        16875.15 |       Stop loss | -3.1349499999975707
      000000042 |            4815 |            4816 |           Short |           1.849  |        16877.04 |        16890.62 |       Stop loss | -3.1248099999975785
      000000043 |            4962 |            4963 |            Long |           1.848  |        16837.73 |        16834.04 |       Stop loss | -3.104640000000538
      000000044 |            5107 |            5113 |            Long |           1.844  |        16822.38 |        16819.29 |       Stop loss | -3.0979200000005367
      000000045 |            5167 |            5168 |            Long |           1.839  |        16822.54 |        16818.45 |       Stop loss | -3.089520000000535
      000000046 |            5203 |            5209 |           Short |            1.83  |        16850.32 |        16833.29 |     Take profit |          30.835
      000000047 |            5271 |            5272 |           Short |           1.886  |        16842.97 |        16858.51 |       Stop loss | -3.1684800000005486
      000000048 |            5303 |            5307 |           Short |           1.877  |        16871.58 |        16873.59 |       Stop loss | -3.1721299999975416
      000000049 |            5405 |            5406 |           Short |           1.869  |        16896.48 |        16908.39 |       Stop loss | -3.158609999997552
      000000050 |            5452 |            5453 |           Short |           1.854  |        16974.39 |        16979.14 |       Stop loss | -3.1518000000013493
      000000051 |            5502 |            5503 |            Long |           1.864  |        16839.11 |         16827.8 |       Stop loss | -3.1315200000005428
      000000052 |            5783 |            5785 |           Short |           1.855  |        16868.72 |        16872.03 |       Stop loss | -3.1349499999975707
      000000053 |            5846 |            5847 |            Long |           1.853  |         16835.1 |        16831.93 |       Stop loss | -3.1130400000005394
      000000054 |            5888 |            5889 |            Long |           1.847  |         16836.8 |        16832.89 |       Stop loss | -3.1029600000005373
      000000055 |            6158 |            6165 |            Long |           1.844  |         16818.9 |        16816.44 |       Stop loss | -3.0979200000005367
      000000056 |            6308 |            6309 |            Long |           1.841  |        16791.65 |        16787.84 |       Stop loss | -3.0928800000005356
      000000057 |            6376 |            6377 |           Short |           1.832  |        16823.63 |        16828.83 |       Stop loss | -3.0777600000005334
      000000058 |            6547 |            6555 |            Long |           1.827  |        16821.07 |        16801.04 |       Stop loss | -3.0693600000005317
      000000059 |            6667 |            6668 |           Short |           1.819  |        16845.74 |        16866.69 |       Stop loss | -3.055919999993912
      000000060 |            6700 |            6701 |           Short |           1.812  |        16858.05 |        16865.25 |       Stop loss | -3.062280000004219
      000000061 |            6833 |            6835 |            Long |           1.811  |        16816.06 |         16814.0 |       Stop loss | -3.042480000000527
      000000062 |            6907 |            6909 |           Short |           1.803  |        16842.74 |        16844.67 |       Stop loss | -3.0290399999939654
      000000063 |            6973 |            6974 |           Short |           1.795  |        16862.18 |        16865.46 |       Stop loss | -3.033549999997649
      000000064 |            7061 |            7062 |            Long |           1.792  |        16839.51 |        16836.17 |       Stop loss | -3.0105599999940025
      000000065 |            7315 |            7316 |            Long |           1.787  |        16835.92 |         16830.4 |       Stop loss | -3.002159999994019
      000000066 |            7566 |            7567 |            Long |           1.785  |        16810.61 |        16808.28 |       Stop loss | -2.9988000000005193
      000000067 |            7678 |            7680 |            Long |           1.781  |        16793.15 |        16791.47 |       Stop loss | -2.9920800000005183
      000000068 |            7740 |            7741 |            Long |           1.775  |        16798.74 |        16796.01 |       Stop loss | -2.9820000000005162
      000000069 |            7860 |            7861 |            Long |           1.773  |        16767.52 |        16765.44 |       Stop loss | -2.978640000000516
      000000070 |            7903 |            7904 |            Long |            1.77  |        16747.64 |        16745.73 |       Stop loss | -2.9558999999969093
      000000071 |            7989 |            7990 |            Long |           1.768  |        16719.42 |         16713.2 |       Stop loss | -2.9525599999969128
      000000072 |            8032 |            8036 |           Short |           1.755  |        16788.36 |        16769.36 |     Take profit |          29.466
      000000073 |            8116 |            8117 |           Short |           1.809  |         16775.7 |        16789.16 |       Stop loss | -3.0391200000005263
      000000074 |            8162 |            8177 |           Short |           1.797  |        16837.86 |        16816.65 |     Take profit |          30.261
      000000075 |            8217 |            8218 |           Short |           1.851  |        16836.85 |        16838.79 |       Stop loss | -3.1096800000005387
      000000076 |            8291 |            8292 |           Short |           1.845  |        16846.43 |        16851.32 |       Stop loss | -3.099600000000537
      000000077 |            8331 |            8332 |           Short |           1.839  |        16845.98 |        16848.41 |       Stop loss | -3.089520000000535
      000000078 |            8376 |            8377 |           Short |           1.831  |        16873.69 |         16895.6 |       Stop loss | -3.094390000004263
      000000079 |            8412 |            8413 |           Short |           1.813  |        16989.36 |         16997.0 |       Stop loss | -3.082100000001319
      000000080 |            8545 |            8546 |           Short |           1.811  |         16955.3 |        16959.48 |       Stop loss | -3.0787000000013176
      000000081 |            8924 |            8929 |            Long |           1.807  |        16942.48 |        16940.43 |       Stop loss | -3.0538299999976335
      000000082 |            8974 |            8977 |            Long |           1.802  |         16937.8 |        16933.06 |       Stop loss | -3.04537999999764
      000000083 |            9106 |            9121 |           Short |           1.795  |        16947.68 |        16953.93 |       Stop loss | -3.033549999997649
      000000084 |            9160 |            9161 |            Long |           1.792  |        16932.58 |        16930.23 |       Stop loss | -3.0284800000041723
      000000085 |            9224 |            9251 |            Long |           1.787  |        16926.47 |        16924.51 |       Stop loss | -3.0200300000041604
      000000086 |            9369 |            9372 |            Long |           1.783  |        16911.88 |        16909.18 |       Stop loss | -3.0132700000041512
      000000087 |            9479 |            9480 |            Long |           1.777  |        16919.34 |        16916.93 |       Stop loss | -3.0031299999976726
      000000088 |            9664 |            9763 |            Long |           1.772  |        16919.44 |         16938.0 |     Take profit |          29.982
      000000089 |            9795 |            9803 |           Short |           1.823  |         16938.7 |         16941.4 |       Stop loss | -3.0808699999976126
      000000090 |            9852 |            9949 |           Short |           1.816  |        16947.41 |        16950.25 |       Stop loss | -3.0690399999976217
      000000091 |            9983 |            9984 |            Long |           1.812  |        16935.78 |         16934.0 |       Stop loss | -3.062279999997627
      000000092 |           10032 |           10033 |           Short |           1.806  |        16943.36 |        16945.81 |       Stop loss | -3.052139999997635
      000000093 |           10127 |           10145 |            Long |           1.803  |        16919.42 |        16915.25 |       Stop loss | -3.0470699999976385
      000000094 |           10251 |           10318 |            Long |           1.797  |        16924.45 |        16941.97 |     Take profit |          30.405
      000000095 |           10424 |           10427 |           Short |           1.849  |         16941.0 |        16942.93 |       Stop loss | -3.1248099999975785
      000000096 |           10479 |           10494 |           Short |           1.844  |        16941.79 |        16943.56 |       Stop loss | -3.1163599999975853
      000000097 |           10553 |           10554 |           Short |           1.837  |        16952.38 |        16954.19 |       Stop loss | -3.1229000000013367
      000000098 |           10605 |           10606 |            Long |           1.832  |        16942.26 |        16940.01 |       Stop loss | -3.0960799999976008
      000000099 |           10698 |           10709 |            Long |           1.828  |        16935.71 |         16934.0 |       Stop loss | -3.089319999997606
      000000100 |           10765 |           10792 |            Long |           1.822  |        16936.19 |        16932.44 |       Stop loss | -3.079179999997614
      000000101 |           10987 |           10989 |           Short |           1.816  |        16942.85 |        16945.91 |       Stop loss | -3.0690400000042284
      000000102 |           11025 |           11026 |           Short |           1.809  |        16955.87 |        16963.91 |       Stop loss | -3.075300000001316
      000000103 |           11090 |           11091 |            Long |           1.806  |        16938.48 |        16935.03 |       Stop loss | -3.052139999997635
      000000104 |           11135 |           11136 |            Long |             1.8  |        16936.44 |        16932.73 |       Stop loss | -3.0419999999976426
      000000105 |           11333 |           11334 |           Short |           1.791  |        16970.35 |        16973.44 |       Stop loss | -3.044700000001303
      000000106 |           11372 |           11374 |           Short |           1.786  |        16971.17 |         16973.8 |       Stop loss | -3.0362000000012994
      000000107 |           11513 |           11514 |           Short |           1.771  |        17066.83 |        17075.75 |       Stop loss | -3.0284099999984537
      000000108 |           11557 |           11558 |           Short |           1.758  |        17133.07 |        17139.14 |       Stop loss | -3.006179999998465
      000000109 |           11633 |           11634 |           Short |           1.748  |        17186.37 |        17191.77 |       Stop loss | -3.0065600000020347
      000000110 |           11688 |           11690 |           Short |            1.74  |        17210.17 |        17212.02 |       Stop loss | -2.9928000000020254
      000000111 |           11818 |           11819 |           Short |           1.733  |        17225.42 |        17228.01 |       Stop loss | -2.9807600000020176
      000000112 |           11956 |           12006 |            Long |           1.732  |        17191.28 |        17186.95 |       Stop loss | -2.9790399999957153
      000000113 |           12096 |           12097 |           Short |           1.722  |        17239.37 |         17258.0 |       Stop loss | -2.9618400000020046
      000000114 |           12240 |           12245 |            Long |           1.716  |        17244.22 |        17242.13 |       Stop loss | -2.9515200000019974
      000000115 |           12321 |           12322 |           Short |           1.709  |        17261.25 |        17266.77 |       Stop loss | -2.956569999999254
      000000116 |           12431 |           12434 |           Short |           1.702  |        17276.09 |        17258.11 |     Take profit |          29.411
      000000117 |           12464 |           12465 |           Short |           1.753  |        17286.18 |         17300.1 |       Stop loss | -3.0326899999992345
      000000118 |           12513 |           12515 |           Short |           1.743  |        17324.16 |        17335.86 |       Stop loss | -3.0153899999992393
      000000119 |           12558 |           12559 |           Short |           1.736  |        17350.24 |        17367.16 |       Stop loss | -3.0206399999964635
      000000120 |           12633 |           12637 |           Short |           1.727  |        17386.43 |         17363.8 |     Take profit |          30.033
      000000121 |           12704 |           12705 |            Long |           1.785  |         17323.0 |        17321.08 |       Stop loss | -3.0880499999992206
      000000122 |           12736 |           12737 |            Long |           1.787  |        17248.04 |        17245.78 |       Stop loss | -3.0736400000020803
      000000123 |           12769 |           12770 |            Long |           1.787  |        17201.17 |        17199.16 |       Stop loss | -3.0736399999955792
      000000124 |           12854 |           12856 |            Long |           1.782  |        17201.36 |        17185.02 |       Stop loss | -3.0650400000020745
      000000125 |           12948 |           12959 |            Long |           1.778  |         17181.5 |         17178.0 |       Stop loss | -3.05816000000207
      000000126 |           13132 |           13134 |            Long |           1.772  |        17189.13 |        17186.84 |       Stop loss | -3.047840000002063
      000000127 |           13357 |           13358 |            Long |           1.766  |        17197.09 |        17189.15 |       Stop loss | -3.037520000002056
      000000128 |           13399 |           13402 |            Long |           1.761  |        17198.58 |        17192.38 |       Stop loss | -3.0289200000020498
      000000129 |           13494 |           13495 |           Short |           1.749  |        17256.37 |        17263.32 |       Stop loss | -3.0257699999992367
      000000130 |           13526 |           13528 |           Short |           1.743  |        17272.64 |        17277.87 |       Stop loss | -3.0153899999992393
      000000131 |           13594 |           13600 |           Short |           1.738  |        17267.29 |        17269.53 |       Stop loss | -3.0067399999992412
      000000132 |           13698 |           13699 |            Long |           1.736  |        17235.17 |        17232.77 |       Stop loss | -2.9859199999957053
      000000133 |           13852 |           13854 |            Long |           1.731  |        17232.71 |        17255.93 |     Take profit |          29.825
      000000134 |           13919 |           13920 |           Short |           1.773  |         17327.7 |        17331.66 |       Stop loss | -3.067289999999226
      000000135 |           13981 |           13989 |            Long |           1.772  |        17289.53 |        17312.16 |     Take profit |          30.638
      000000136 |           14019 |           14020 |           Short |            1.82  |         17335.9 |        17339.29 |       Stop loss | -3.1485999999992056
      000000137 |           14054 |           14055 |           Short |           1.814  |        17341.04 |        17351.98 |       Stop loss | -3.138219999999208
      000000138 |           14110 |           14111 |           Short |           1.799  |        17432.53 |        17444.89 |       Stop loss | -3.1302600000028797
      000000139 |           14202 |           14203 |           Short |           1.792  |        17447.01 |        17453.28 |       Stop loss | -3.1180800000028683
      000000140 |           14262 |           14265 |           Short |           1.783  |        17486.72 |        17467.06 |     Take profit |          31.185
      000000141 |           14342 |           14347 |            Long |           1.844  |        17408.84 |        17426.72 |     Take profit |          32.104
      000000142 |           14420 |           14429 |           Short |           1.895  |         17452.8 |        17435.26 |     Take profit |          33.068
      000000143 |           14459 |           14460 |           Short |            1.95  |        17466.02 |        17468.48 |       Stop loss |         -3.4125
      000000144 |           14528 |           14529 |            Long |           1.948  |        17436.14 |        17430.92 |       Stop loss | -3.3895199999960313
      000000145 |           14562 |           14563 |            Long |           1.944  |        17420.02 |        17417.35 |       Stop loss | -3.3825600000031115
      000000146 |           14594 |           14595 |            Long |            1.94  |        17400.53 |        17397.45 |       Stop loss | -3.3755999999960475
      000000147 |           14666 |           14671 |            Long |           1.934  |        17405.12 |        17401.25 |       Stop loss | -3.36515999999606
      000000148 |           14820 |           14833 |           Short |           1.924  |        17438.26 |        17440.94 |       Stop loss | -3.34776000000308
      000000149 |           14867 |           14868 |           Short |           1.918  |         17446.0 |        17448.58 |       Stop loss | -3.33732000000307
      000000150 |           14922 |           14923 |            Long |           1.915  |        17418.57 |        17416.19 |       Stop loss | -3.3320999999960987
      000000151 |           14966 |           14967 |           Short |           1.905  |        17455.23 |        17457.99 |       Stop loss |        -3.33375
      000000152 |           15072 |           15081 |            Long |           1.902  |        17436.78 |        17432.36 |       Stop loss | -3.309479999996125
      000000153 |           15136 |           15137 |            Long |           1.898  |        17420.16 |        17417.87 |       Stop loss | -3.302520000003038
      000000154 |           15175 |           15176 |            Long |           1.892  |        17423.96 |         17420.6 |       Stop loss | -3.292079999996145
      000000155 |           15240 |           15241 |            Long |           1.887  |        17410.96 |        17407.76 |       Stop loss | -3.2833799999961557
      000000156 |           15311 |           15326 |           Short |           1.879  |        17434.49 |         17414.0 |     Take profit |          32.751
      000000157 |           15356 |           15367 |            Long |           1.948  |        17324.06 |        17320.42 |       Stop loss | -3.3700399999991495
      000000158 |           15408 |           15409 |            Long |           1.939  |        17353.64 |        17350.33 |       Stop loss | -3.37385999999605
      000000159 |           15516 |           15526 |           Short |           1.919  |        17481.05 |        17490.28 |       Stop loss |        -3.35825
      000000160 |           15605 |           15606 |           Short |           1.907  |        17537.26 |        17539.64 |       Stop loss |        -3.33725
      000000161 |           15661 |           15668 |           Short |           1.898  |        17565.77 |        17544.53 |     Take profit |          33.348
      000000162 |           15698 |           15704 |           Short |           1.957  |        17550.45 |         17553.0 |       Stop loss | -3.4443199999968677
      000000163 |           15868 |           15869 |           Short |           1.907  |        17949.15 |        17962.26 |       Stop loss | -3.4135299999947275
      000000164 |           15909 |           15910 |           Short |            1.88  |        18156.23 |         18174.5 |       Stop loss | -3.4215999999994526
      000000165 |           15965 |           15966 |           Short |           1.864  |        18261.34 |        18266.77 |       Stop loss | -3.411119999996474
      000000166 |           16008 |           16010 |           Short |           1.855  |        18295.51 |        18273.84 |     Take profit |          33.946
      000000167 |           16189 |           16190 |            Long |           1.932  |        18089.29 |        18085.85 |       Stop loss | -3.4969200000025302
      000000168 |           16468 |           16469 |           Short |           1.917  |        18177.72 |        18179.97 |       Stop loss | -3.488939999999442
      000000169 |           16541 |           16542 |           Short |            1.91  |        18190.74 |         18205.0 |       Stop loss | -3.476199999999444
      000000170 |           16572 |           16573 |           Short |           1.902  |        18207.31 |        18217.33 |       Stop loss | -3.4616399999994463
      000000171 |           16673 |           16674 |           Short |           1.892  |        18252.05 |        18294.76 |       Stop loss | -3.462360000003304
      000000172 |           16770 |           16771 |            Long |           1.906  |        18058.04 |        18040.81 |       Stop loss | -3.449860000002496
