
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             807 |             810 |            Long |           1.832  |        16546.85 |        16549.15 |       Stop loss | 4.42411145599786
      000000003 |             885 |             887 |            Long |            1.84  |        16546.89 |         16545.2 |       Stop loss | -2.9894332800022676
      000000004 |             923 |             924 |            Long |           1.836  |        16538.71 |         16536.0 |       Stop loss | -3.0293999999959924
      000000005 |             969 |             973 |           Short |           1.827  |        16566.95 |        16562.11 |       Stop loss | 11.298330602997249
      000000006 |            1005 |            1006 |           Short |           1.848  |        16565.29 |         16573.6 |       Stop loss | -3.067679999999731
      000000007 |            1063 |            1064 |           Short |            1.84  |        16583.28 |        16585.56 |       Stop loss | -3.0543999999997324
      000000008 |            1120 |            1121 |           Short |           1.833  |        16595.23 |         16599.0 |       Stop loss | -3.042779999999733
      000000009 |            1168 |            1169 |           Short |           1.825  |        16618.94 |        16623.65 |       Stop loss | -3.0294999999997345
      000000010 |            1232 |            1233 |           Short |            1.82  |        16617.89 |        16624.19 |       Stop loss | -3.021199999999735
      000000011 |            1461 |            1462 |            Long |           1.816  |        16600.12 |        16597.82 |       Stop loss | -3.0145599999997357
      000000012 |            1566 |            1568 |            Long |           1.814  |        16573.86 |        16571.75 |       Stop loss | -0.8117776980013951
      000000013 |            1671 |            1672 |           Short |           1.808  |        16616.41 |        16619.39 |       Stop loss | -3.001279999999737
      000000014 |            1713 |            1714 |           Short |           1.799  |        16648.31 |         16650.0 |       Stop loss | -2.986339999999738
      000000015 |            1783 |            1784 |           Short |           1.793  |        16653.05 |        16657.14 |       Stop loss | -2.994310000003392
      000000016 |            1905 |            1907 |           Short |           1.778  |        16740.18 |        16730.06 |       Stop loss | 21.526886079996714
      000000017 |            2168 |            2170 |           Short |           1.817  |        16741.65 |        16744.46 |       Stop loss | -3.034389999996827
      000000018 |            2238 |            2239 |            Long |           1.814  |        16719.29 |         16717.0 |       Stop loss | -3.0293800000034317
      000000019 |            2308 |            2309 |            Long |           1.811  |        16691.85 |         16690.0 |       Stop loss | -3.0243699999968374
      000000020 |            2462 |            2464 |            Long |           1.804  |        16712.49 |        16713.55 |       Stop loss | 2.3784874079991423
      000000021 |            2514 |            2525 |            Long |           1.808  |        16715.29 |        16713.78 |       Stop loss | -1.5216344960003043
      000000022 |            2669 |            2670 |           Short |           1.803  |        16729.44 |        16731.93 |       Stop loss | -3.011010000003411
      000000023 |            2871 |            2872 |            Long |           1.803  |        16680.98 |        16676.32 |       Stop loss | -3.0110099999968516
      000000024 |            2909 |            2910 |            Long |           1.798  |        16682.79 |         16680.4 |       Stop loss | -3.0026600000034014
      000000025 |            3049 |            3054 |            Long |           1.793  |        16674.83 |        16675.41 |       Stop loss | 7.659557939000434
      000000026 |            3095 |            3097 |           Short |           1.805  |         16695.8 |        16697.98 |       Stop loss | -3.0143500000034145
      000000027 |            3233 |            3234 |           Short |           1.797  |        16716.77 |        16723.59 |       Stop loss | -3.000989999996862
      000000028 |            3270 |            3271 |           Short |           1.786  |        16766.35 |        16768.06 |       Stop loss | -3.00048000000052
      000000029 |            3450 |            3452 |           Short |           1.785  |        16730.02 |        16734.82 |       Stop loss | -2.522162159999316
      000000030 |            3559 |            3562 |            Long |           1.781  |        16725.13 |         16723.8 |       Stop loss | -0.8239511539991544
      000000031 |            3652 |            3653 |            Long |           1.781  |        16707.75 |         16704.3 |       Stop loss | -2.97426999999689
      000000032 |            3683 |            3684 |           Short |           1.773  |         16732.5 |        16734.17 |       Stop loss | -2.960909999996904
      000000033 |            3723 |            3724 |           Short |           1.768  |        16728.28 |        16730.41 |       Stop loss | -2.9525600000033445
      000000034 |            3757 |            3758 |           Short |           1.762  |        16740.56 |        16742.77 |       Stop loss | -2.942539999996923
      000000035 |            3982 |            3984 |            Long |           1.768  |        16632.03 |        16630.06 |       Stop loss | -2.3041265520013403
      000000036 |            4045 |            4048 |            Long |           1.764  |        16630.28 |        16632.93 |       Stop loss | 6.485236631997527
      000000037 |            4175 |            4176 |           Short |           1.771  |        16673.03 |        16674.74 |       Stop loss | -2.9575700000033502
      000000038 |            4367 |            4370 |            Long |           1.767  |        16659.19 |        16658.34 |       Stop loss | -1.3358696700017134
      000000039 |            4468 |            4470 |           Short |           1.759  |        16717.82 |        16728.55 |       Stop loss | -2.9375300000033273
      000000040 |            4510 |            4511 |           Short |           1.745  |        16798.14 |        16815.25 |       Stop loss | -2.931600000000508
      000000041 |            4598 |            4599 |           Short |           1.732  |        16870.59 |        16876.23 |       Stop loss | -2.9270799999977317
      000000042 |            4738 |            4739 |           Short |           1.727  |        16874.01 |         16880.0 |       Stop loss | -2.918630000004021
      000000043 |            4790 |            4794 |           Short |           1.722  |        16869.97 |        16860.28 |       Stop loss | 20.61986341799926
      000000044 |            4924 |            4925 |            Long |           1.761  |        16842.52 |        16840.09 |       Stop loss | -2.9584800000005123
      000000045 |            5109 |            5110 |            Long |           1.758  |        16825.33 |        16823.26 |       Stop loss | -2.9534400000005117
      000000046 |            5173 |            5174 |            Long |           1.754  |        16811.75 |        16802.16 |       Stop loss | -2.9467200000005107
      000000047 |            5225 |            5226 |            Long |            1.75  |         16799.7 |        16785.54 |       Stop loss | -2.9400000000005093
      000000048 |            5409 |            5410 |           Short |           1.734  |         16906.1 |        16909.25 |       Stop loss | -2.9304600000040373
      000000049 |            5492 |            5493 |            Long |            1.74  |        16795.03 |        16787.85 |       Stop loss | -2.9232000000005063
      000000050 |            5563 |            5564 |            Long |           1.735  |        16797.73 |         16777.0 |       Stop loss | -2.914800000000505
      000000051 |            5722 |            5723 |           Short |           1.724  |        16850.62 |        16854.66 |       Stop loss | -2.913560000004014
      000000052 |            5822 |            5824 |            Long |            1.72  |        16835.29 |        16834.54 |       Stop loss | -0.31592788000270955
      000000053 |            6175 |            6178 |            Long |           1.721  |        16822.35 |        16820.75 |       Stop loss | -1.5356723940010744
      000000054 |            6210 |            6211 |            Long |            1.72  |        16810.15 |        16807.64 |       Stop loss | -2.8896000000005007
      000000055 |            6335 |            6336 |            Long |           1.715  |        16807.26 |        16802.25 |       Stop loss | -2.8811999999942604
      000000056 |            6505 |            6506 |            Long |           1.708  |        16818.95 |        16816.68 |       Stop loss | -2.869440000000497
      000000057 |            6556 |            6557 |            Long |           1.704  |        16812.54 |         16805.7 |       Stop loss | -2.862720000000496
      000000058 |            6591 |            6593 |            Long |             1.7  |        16796.84 |        16788.43 |       Stop loss | -2.1075376000007964
      000000059 |            6672 |            6673 |           Short |           1.691  |        16855.22 |        16865.67 |       Stop loss | -2.8577899999977854
      000000060 |            6900 |            6901 |           Short |           1.687  |        16843.73 |        16845.99 |       Stop loss | -2.834160000000491
      000000061 |            6940 |            6943 |           Short |           1.681  |        16850.61 |         16852.6 |       Stop loss | 1.5888845620043868
      000000062 |            7059 |            7062 |            Long |           1.685  |        16839.83 |        16836.17 |       Stop loss | -2.8308000000004907
      000000063 |            7154 |            7155 |            Long |            1.68  |        16838.91 |        16834.14 |       Stop loss | -2.822400000000489
      000000064 |            7215 |            7216 |            Long |           1.676  |        16829.89 |        16828.15 |       Stop loss | -2.8156800000004876
      000000065 |            7363 |            7364 |            Long |            1.67  |        16834.24 |        16830.62 |       Stop loss | -2.805600000000486
      000000066 |            7561 |            7566 |            Long |           1.668  |        16806.57 |        16808.81 |       Stop loss | 9.488594807999513
      000000067 |            7607 |            7608 |            Long |           1.686  |        16796.14 |        16793.53 |       Stop loss | -2.8324800000004906
      000000068 |            7656 |            7659 |            Long |           1.681  |        16796.61 |         16795.0 |       Stop loss | -1.025020008003492
      000000069 |            7787 |            7789 |            Long |           1.681  |        16781.33 |        16780.72 |       Stop loss | 0.2717891229912748
      000000070 |            7857 |            7858 |            Long |           1.682  |        16775.78 |        16767.06 |       Stop loss | -2.825760000000489
      000000071 |            7899 |            7900 |            Long |           1.681  |         16731.5 |        16729.39 |       Stop loss | -2.8072699999970645
      000000072 |            7953 |            7954 |            Long |           1.676  |        16733.83 |        16731.84 |       Stop loss | -2.7989200000031706
      000000073 |            8027 |            8028 |           Short |           1.665  |        16789.15 |        16793.28 |       Stop loss | -2.7972000000004846
      000000074 |            8148 |            8149 |           Short |           1.656  |        16831.92 |        16835.87 |       Stop loss | -2.782080000000482
      000000075 |            8301 |            8302 |           Short |            1.65  |        16846.65 |        16850.54 |       Stop loss | -2.77200000000048
      000000076 |            8376 |            8377 |           Short |           1.642  |        16873.69 |         16895.6 |       Stop loss | -2.774980000003823
      000000077 |            8587 |            8589 |           Short |           1.629  |        16962.74 |        16962.23 |       Stop loss | 4.714627365001656
      000000078 |            8706 |            8710 |           Short |           1.636  |        16971.64 |        16970.17 |       Stop loss | 2.4100783079983663
      000000079 |            8868 |            8872 |            Long |           1.643  |        16943.89 |        16944.22 |       Stop loss | 1.257494694998837
      000000080 |            8911 |            8914 |            Long |           1.645  |        16943.39 |        16940.01 |       Stop loss | -2.4417722000036157
      000000081 |            8950 |            8952 |            Long |           1.641  |        16939.86 |        16938.59 |       Stop loss | -0.991319894997996
      000000082 |            9038 |            9042 |            Long |            1.64  |        16932.71 |        16933.84 |       Stop loss | 2.2081369999995513
      000000083 |            9093 |            9096 |           Short |           1.643  |        16944.35 |         16946.2 |       Stop loss | -2.7766700000038256
      000000084 |            9170 |            9174 |            Long |           1.639  |        16931.72 |         16930.0 |       Stop loss | -2.769910000003816
      000000085 |            9275 |            9277 |            Long |           1.635  |        16921.86 |        16920.01 |       Stop loss | -2.7631500000038067
      000000086 |            9387 |            9389 |            Long |           1.631  |        16914.56 |         16914.6 |       Stop loss | 0.14412494599991987
      000000087 |            9643 |            9644 |            Long |           1.631  |        16920.29 |        16918.59 |       Stop loss | -2.7563900000037975
      000000088 |            9686 |            9689 |            Long |           1.626  |         16925.3 |        16924.55 |       Stop loss | -0.5083981679978314
      000000089 |            9954 |            9956 |           Short |           1.623  |        16944.36 |        16945.82 |       Stop loss | -0.5263372769998096
      000000090 |           10019 |           10021 |            Long |           1.623  |        16936.31 |        16931.05 |       Stop loss | -2.7428700000037787
      000000091 |           10167 |           10169 |            Long |           1.618  |        16931.59 |        16932.39 |       Stop loss | 1.7095237879988563
      000000092 |           10245 |           10250 |            Long |           1.622  |        16927.11 |        16924.03 |       Stop loss | -2.7411800000037765
      000000093 |           10333 |           10337 |           Short |           1.616  |        16940.86 |        16938.61 |       Stop loss | 3.6623569599984913
      000000094 |           10546 |           10549 |           Short |           1.621  |         16950.7 |        16951.05 |       Stop loss | 0.364922762005619
      000000095 |           10703 |           10709 |            Long |           1.623  |        16935.84 |         16934.0 |       Stop loss | -0.5253991830010709
      000000096 |           10846 |           10848 |            Long |           1.623  |        16926.14 |        16924.07 |       Stop loss | -2.7428699999978745
      000000097 |           11026 |           11028 |           Short |           1.615  |        16962.91 |        16979.16 |       Stop loss | -0.1552515650033274
      000000098 |           11230 |           11242 |            Long |           1.618  |        16925.69 |        16931.23 |       Stop loss | 14.119297402005033
