
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             790 |             792 |           Short |           1.831  |        16560.56 |        16558.94 |       Stop loss | 3.4867733000036023
      000000003 |             824 |             825 |            Long |           1.839  |        16542.55 |        16540.24 |       Stop loss | -3.0343499999959858
      000000004 |             895 |             896 |            Long |           1.833  |        16547.49 |         16542.6 |       Stop loss | -3.0244500000026675
      000000005 |             928 |             935 |            Long |           1.828  |        16542.61 |        16543.69 |       Stop loss | 2.258402600000234
      000000006 |             971 |             973 |           Short |            1.83  |        16563.76 |        16562.11 |       Stop loss | 5.479182869992983
      000000007 |            1071 |            1072 |           Short |           1.838  |        16583.11 |        16585.92 |       Stop loss | -3.0510799999997325
      000000008 |            1360 |            1364 |            Long |           1.831  |        16593.78 |        16595.56 |       Stop loss |           3.259
      000000009 |            1400 |            1401 |           Short |           1.834  |        16618.41 |        16620.11 |       Stop loss | -3.0444399999997334
      000000010 |            1473 |            1477 |            Long |           1.831  |        16596.17 |        16592.05 |       Stop loss |          -7.544
      000000011 |            1660 |            1663 |           Short |           1.816  |        16608.65 |        16608.85 |       Stop loss |          -0.363
      000000012 |            1885 |            1886 |           Short |           1.803  |         16726.8 |        16745.04 |       Stop loss | -3.011010000003411
      000000013 |            2174 |            2175 |           Short |           1.796  |        16739.31 |        16745.96 |       Stop loss | -2.999319999996864
      000000014 |            2277 |            2278 |            Long |           1.795  |        16699.81 |         16698.0 |       Stop loss | -2.9976500000033957
      000000015 |            2376 |            2377 |           Short |           1.786  |        16728.48 |        16734.47 |       Stop loss |         -10.698
      000000016 |            2412 |            2413 |           Short |           1.767  |        16733.23 |         16737.1 |       Stop loss | -2.9508900000033425
      000000017 |            2517 |            2525 |            Long |           1.763  |        16715.02 |        16713.78 |       Stop loss | -1.0077519559995272
      000000018 |            2777 |            2778 |           Short |           1.759  |        16739.98 |        16742.13 |       Stop loss | -2.9375300000033273
      000000019 |            2833 |            2835 |            Long |           1.756  |         16713.7 |        16708.82 |       Stop loss | -2.0043387880016525
      000000020 |            2903 |            2905 |            Long |           1.756  |        16681.81 |         16681.6 |       Stop loss | 1.6358176039945975
      000000021 |            2987 |            2990 |            Long |           1.761  |        16666.03 |        16665.08 |       Stop loss | 2.171501427000032
      000000022 |            3095 |            3097 |           Short |           1.761  |         16695.8 |        16697.98 |       Stop loss |          -3.839
      000000023 |            3228 |            3230 |           Short |           1.752  |        16716.56 |        16718.52 |       Stop loss | -0.12526099199446616
