
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             801 |             806 |            Long |           1.832  |        16547.64 |        16546.78 |       Stop loss | -1.0714836719983722
      000000003 |             872 |             874 |           Short |           1.829  |        16557.27 |         16558.3 |       Stop loss |          -1.884
      000000004 |             929 |             935 |            Long |           1.827  |        16542.89 |        16543.69 |       Stop loss | 1.7456071500023609
      000000005 |             989 |             990 |           Short |           1.827  |        16577.68 |        16581.29 |       Stop loss | -3.032819999999734
      000000006 |            1058 |            1061 |           Short |           1.821  |        16578.67 |        16580.95 |       Stop loss | -1.8534192629978534
      000000007 |            1177 |            1178 |           Short |           1.813  |        16619.18 |        16621.41 |       Stop loss | -3.009579999999736
      000000008 |            1231 |            1232 |           Short |           1.808  |        16616.19 |        16618.64 |       Stop loss | -3.001279999999737
      000000009 |            1271 |            1272 |            Long |           1.805  |        16596.28 |         16593.7 |       Stop loss | -2.9962999999997373
      000000010 |            1351 |            1353 |            Long |             1.8  |        16594.97 |         16593.8 |       Stop loss | -1.061287200001243
      000000011 |            1467 |            1469 |            Long |           1.798  |        16591.79 |        16587.82 |       Stop loss | -2.9846799999997384
      000000012 |            1499 |            1500 |            Long |           1.793  |        16588.35 |        16576.86 |       Stop loss | -2.976379999999739
      000000013 |            1551 |            1557 |            Long |            1.79  |        16567.81 |        16566.15 |       Stop loss | 0.13075234000240016
      000000014 |            1616 |            1621 |           Short |           1.788  |         16590.5 |        16589.48 |       Stop loss | 1.861701359998493
      000000015 |            1666 |            1667 |           Short |           1.789  |        16611.33 |        16616.04 |       Stop loss |          -8.426
      000000016 |            1899 |            1900 |           Short |           1.758  |        16756.97 |        16760.69 |       Stop loss | -2.9534400000005117
      000000017 |            2170 |            2171 |           Short |           1.754  |        16742.25 |         16744.8 |       Stop loss | -2.9291799999969372
      000000018 |            2271 |            2272 |            Long |           1.753  |         16702.2 |        16700.34 |       Stop loss | -2.927510000003316
      000000019 |            2327 |            2328 |            Long |           1.748  |        16702.17 |        16699.15 |       Stop loss | -2.9191599999969475
      000000020 |            2505 |            2506 |            Long |           1.742  |        16713.88 |        16711.96 |       Stop loss | -2.9091400000032954
      000000021 |            2595 |            2596 |           Short |           1.735  |        16724.27 |        16728.75 |       Stop loss | -2.8974499999969705
      000000022 |            2776 |            2778 |           Short |           1.728  |        16747.78 |        16742.13 |       Stop loss | 10.585731456001522
      000000023 |            2847 |            2849 |            Long |            1.75  |         16713.4 |        16709.68 |       Stop loss | -0.0901285000036296
      000000024 |            3023 |            3025 |            Long |           1.754  |        16677.07 |        16674.72 |       Stop loss | -2.9076198319979305
      000000025 |            3081 |            3085 |            Long |           1.749  |        16677.33 |        16685.53 |       Stop loss | 22.58100494099518
      000000026 |            3226 |            3227 |           Short |           1.785  |        16714.13 |        16717.44 |       Stop loss | -2.980949999996883
      000000027 |            3440 |            3441 |           Short |           1.778  |        16729.35 |         16732.7 |       Stop loss | -2.9692600000033638
      000000028 |            3471 |            3474 |           Short |           1.771  |        16748.48 |        16748.88 |       Stop loss |          -0.708
      000000029 |            3613 |            3614 |            Long |           1.773  |        16721.96 |        16717.93 |       Stop loss |          -7.145
      000000030 |            3753 |            3754 |           Short |           1.755  |        16763.65 |        16769.83 |       Stop loss | -2.9484000000005106
      000000031 |            3835 |            3838 |            Long |           1.761  |        16659.74 |        16666.48 |       Stop loss |          11.869
      000000032 |            3901 |            3902 |            Long |           1.787  |        16617.58 |        16615.01 |       Stop loss | -2.966420000006241
      000000033 |            3943 |            3944 |            Long |           1.781  |        16624.11 |        16617.32 |       Stop loss |         -12.093
      000000034 |            4408 |            4409 |           Short |           1.749  |        16716.66 |        16718.64 |       Stop loss | -2.920830000003309
      000000035 |            4440 |            4441 |           Short |           1.745  |        16708.33 |        16711.63 |       Stop loss | -2.914149999996953
      000000036 |            4483 |            4484 |           Short |           1.737  |        16737.08 |        16746.68 |       Stop loss | -2.900789999996967
      000000037 |            4521 |            4522 |           Short |           1.724  |        16813.28 |        16821.66 |       Stop loss | -2.8963200000005016
      000000038 |            4572 |            4574 |           Short |           1.714  |        16862.53 |        16860.31 |       Stop loss | 5.114942796000112
      000000039 |            4753 |            4755 |           Short |           1.721  |        16878.16 |        16875.15 |       Stop loss |            5.18
      000000040 |            4801 |            4802 |           Short |           1.731  |        16870.58 |         16875.0 |       Stop loss | -2.925389999997733
      000000041 |            5144 |            5145 |            Long |           1.731  |         16823.0 |        16820.55 |       Stop loss | -2.908080000000504
      000000042 |            5177 |            5178 |            Long |           1.727  |        16806.76 |        16803.59 |       Stop loss | -2.90135999999422
      000000043 |            5337 |            5340 |           Short |           1.716  |        16866.25 |        16862.97 |       Stop loss | 9.805421340004278
      000000044 |            5427 |            5429 |           Short |           1.728  |        16920.25 |        16921.81 |       Stop loss | -0.970983935995493
      000000045 |            5503 |            5504 |            Long |           1.735  |         16829.9 |         16825.9 |       Stop loss | -2.914800000000505
      000000046 |            5734 |            5735 |           Short |           1.727  |        16860.72 |        16863.06 |       Stop loss | -2.9186299999977385
      000000047 |            5792 |            5795 |           Short |           1.721  |        16864.65 |         16863.3 |       Stop loss |           2.323
      000000048 |            5838 |            5843 |            Long |            1.73  |        16822.69 |        16822.53 |       Stop loss | 7.503233169999221
      000000049 |            5878 |            5879 |            Long |           1.742  |        16835.78 |        16832.62 |       Stop loss |          -5.505
      000000050 |            6156 |            6157 |            Long |           1.734  |        16817.22 |        16813.58 |       Stop loss | -2.9131200000005046
      000000051 |            6233 |            6236 |            Long |           1.729  |         16820.0 |        16820.56 |       Stop loss | 1.8115199830017847
      000000052 |            6360 |            6361 |            Long |           1.733  |        16805.56 |        16803.49 |       Stop loss | -2.9114400000005047
      000000053 |            6395 |            6396 |           Short |           1.726  |        16825.32 |        16828.53 |       Stop loss | -2.8996800000005023
      000000054 |            6575 |            6576 |            Long |           1.723  |        16806.43 |        16801.11 |       Stop loss | -2.8946400000005017
      000000055 |            6614 |            6619 |            Long |           1.718  |        16803.83 |        16811.76 |       Stop loss | 19.754077681991948
      000000056 |            6832 |            6833 |            Long |           1.752  |        16816.85 |        16814.06 |       Stop loss | -2.94336000000051
      000000057 |            6923 |            6925 |           Short |           1.743  |        16847.62 |        16846.41 |       Stop loss | 2.397573191997606
      000000058 |            7045 |            7046 |            Long |           1.748  |        16843.03 |        16839.95 |       Stop loss | -2.9366400000005086
