
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             752 |            Long |            1.81  |         16564.0 |         16561.8 |       Stop loss |          -3.982
      000000002 |             782 |             784 |           Short |           1.804  |         16556.3 |         16558.5 |       Stop loss |          -3.969
      000000003 |             818 |             819 |            Long |           1.799  |         16536.9 |         16533.6 |       Stop loss |          -5.937
      000000004 |             849 |             851 |           Short |           1.788  |         16539.8 |         16543.2 |       Stop loss |          -6.079
      000000005 |             880 |             882 |            Long |           1.776  |         16544.2 |         16542.6 |       Stop loss |          -2.842
      000000006 |             914 |             923 |           Short |           1.772  |         16540.3 |         16531.0 |       Stop loss |           16.48
      000000007 |            1022 |            1028 |           Short |             1.8  |         16557.7 |         16559.6 |       Stop loss |           -3.42
      000000008 |            1075 |            1082 |            Long |           1.792  |         16570.0 |         16585.7 |       Stop loss |          28.134
      000000009 |            1161 |            1162 |            Long |           1.839  |         16602.1 |         16600.3 |       Stop loss |           -3.31
      000000010 |            1344 |            1348 |           Short |           1.835  |         16591.9 |         16588.7 |       Stop loss |           5.872
      000000011 |            1501 |            1503 |            Long |           1.847  |         16572.5 |         16570.7 |       Stop loss |          -3.325
      000000012 |            1553 |            1562 |           Short |           1.843  |         16561.7 |         16550.9 |       Stop loss |          19.904
      000000013 |            1677 |            1678 |            Long |           1.867  |         16666.2 |         16664.5 |       Stop loss |          -3.174
      000000014 |            1758 |            1759 |            Long |           1.867  |         16615.7 |         16613.7 |       Stop loss |          -3.734
      000000015 |            1923 |            1924 |            Long |            1.85  |         16702.7 |         16702.9 |       Stop loss |            0.37
      000000016 |            2007 |            2010 |            Long |            1.85  |         16716.1 |         16716.2 |       Stop loss |           0.185
      000000017 |            2052 |            2053 |           Short |           1.848  |         16733.5 |         16733.2 |       Stop loss |           0.554
      000000018 |            2189 |            2192 |            Long |           1.849  |         16729.3 |         16725.6 |       Stop loss |          -6.841
      000000019 |            2285 |            2286 |            Long |           1.841  |         16696.2 |         16690.1 |       Stop loss |          -11.23
