
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             262 |            1154 |            Long |           0.091  |         16516.3 |         16598.9 |     Take profit |           7.515
      000000002 |            1183 |            1675 |           Short |           0.091  |         16614.9 |         16700.7 |       Stop loss | -7.559369999999974
      000000003 |            1875 |            2759 |           Short |            0.09  |         16687.0 |         16790.0 |       Stop loss | -7.509599999999882
      000000004 |            2793 |            3799 |            Long |           0.089  |         16701.6 |         16615.0 |       Stop loss | -7.432389999999857
      000000005 |            3892 |            4393 |            Long |           0.089  |         16623.5 |         16710.6 |     Take profit |           7.398
      000000006 |            4447 |            4508 |           Short |           0.089  |         16716.9 |         16816.9 |       Stop loss | -7.4386199999998315
      000000007 |            4539 |            4562 |           Short |           0.088  |         16815.3 |         16904.3 |       Stop loss | -7.399040000000153
      000000008 |            4740 |            5221 |           Short |           0.087  |         16872.7 |         16787.1 |     Take profit |           7.339
      000000009 |            5291 |            5374 |           Short |           0.088  |         16854.0 |         16945.5 |       Stop loss | -7.415760000000038
      000000010 |            5418 |            5489 |           Short |           0.087  |         16906.6 |         16822.0 |     Take profit |           7.354
      000000011 |            5561 |            7864 |            Long |           0.088  |         16798.6 |         16714.5 |       Stop loss | -7.3911199999998205
      000000012 |            7893 |            8138 |            Long |           0.088  |         16732.6 |         16818.1 |     Take profit |           7.362
      000000013 |            8284 |            8377 |           Short |           0.088  |         16836.6 |         16925.0 |       Stop loss | -7.407840000000025
      000000014 |            8406 |            8455 |           Short |           0.086  |         16970.1 |         16884.4 |     Take profit |           7.297
      000000015 |            8589 |           11467 |           Short |           0.087  |         16973.7 |         17070.0 |       Stop loss | -7.383689999999911
      000000016 |           11498 |           11515 |           Short |           0.086  |         17048.4 |         17136.9 |       Stop loss | -7.330639999999824
      000000017 |           11558 |           11617 |           Short |           0.085  |         17138.8 |         17238.6 |       Stop loss | -7.283650000000199
      000000018 |           11652 |           12342 |           Short |           0.084  |         17196.3 |         17288.7 |       Stop loss | -7.222319999999963
      000000019 |           12467 |           12746 |           Short |           0.083  |         17307.3 |         17220.1 |     Take profit |           7.183
      000000020 |           12777 |           13803 |            Long |           0.084  |         17194.8 |         17282.3 |     Take profit |           7.221
      000000021 |           13832 |           14058 |           Short |           0.084  |         17294.0 |         17384.7 |       Stop loss | -7.263480000000098
      000000022 |           14087 |           15347 |           Short |           0.083  |         17413.9 |         17326.8 |     Take profit |           7.227
      000000023 |           15479 |           15486 |           Short |           0.084  |         17397.9 |         17489.5 |       Stop loss | -7.307159999999829
      000000024 |           15548 |           15802 |           Short |           0.082  |         17505.2 |         17593.8 |       Stop loss | -7.177459999999905
      000000025 |           15835 |           15889 |           Short |            0.08  |         17936.6 |         18026.8 |       Stop loss | -7.174400000000023
      000000026 |           16161 |           16184 |            Long |           0.078  |         18173.5 |         18079.1 |       Stop loss | -7.08785999999992
      000000027 |           16465 |           16588 |           Short |           0.078  |         18181.0 |         18277.6 |       Stop loss | -7.090200000000113
      000000028 |           16647 |           16650 |            Long |           0.077  |         18082.8 |         18174.2 |     Take profit |           6.962
      000000029 |           16681 |           16690 |           Short |           0.077  |         18320.7 |         18228.6 |     Take profit |           7.053
      000000030 |           16719 |           16746 |            Long |           0.079  |         17974.6 |         18064.7 |     Take profit |             7.1
      000000031 |           16870 |           16884 |           Short |           0.079  |         18158.8 |         18253.4 |       Stop loss | -7.1724100000000695
      000000032 |           16913 |           16915 |           Short |           0.076  |         18766.7 |         18866.4 |       Stop loss | -7.131079999999856
      000000033 |           17069 |           17090 |           Short |           0.074  |         18956.5 |         19081.9 |       Stop loss | -7.013719999999913
      000000034 |           17318 |           17401 |            Long |           0.075  |         18728.2 |         18822.9 |     Take profit |           7.023
      000000035 |           17488 |           17848 |           Short |           0.075  |         18858.3 |         18963.0 |       Stop loss | -7.0717500000000655
      000000036 |           17878 |           17978 |           Short |           0.074  |         18970.4 |         18874.5 |     Take profit |           7.019
      000000037 |           18007 |           18099 |            Long |           0.075  |         18848.0 |         18942.5 |     Take profit |           7.068
      000000038 |           18128 |           18130 |           Short |           0.074  |         19088.6 |         18990.9 |     Take profit |           7.063
      000000039 |           18159 |           18200 |           Short |           0.074  |         19252.0 |         19155.6 |     Take profit |           7.123
      000000040 |           18273 |           18293 |           Short |           0.075  |         19366.2 |         19266.2 |     Take profit |           7.262
      000000041 |           18359 |           18381 |           Short |           0.075  |         19346.1 |         19249.0 |     Take profit |           7.255
      000000042 |           18419 |           18448 |           Short |           0.076  |         19346.6 |         19448.0 |       Stop loss | -7.351480000000243
      000000043 |           18479 |           18525 |           Short |           0.075  |         19406.6 |         19510.0 |       Stop loss | -7.277250000000185
      000000044 |           18556 |           18562 |           Short |           0.073  |         19795.5 |         19895.0 |       Stop loss | -7.225539999999968
      000000045 |           18679 |           18682 |           Short |           0.072  |         20023.9 |         20125.0 |       Stop loss | -7.208639999999926
      000000046 |           18718 |           18723 |           Short |           0.068  |         20970.5 |         20864.8 |     Take profit |            7.13
      000000047 |           18982 |           19045 |            Long |           0.069  |         20834.6 |         20939.7 |     Take profit |           7.188
      000000048 |           19082 |           19137 |           Short |           0.069  |         20978.5 |         20870.5 |     Take profit |           7.237
      000000049 |           19193 |           19222 |           Short |           0.069  |         21008.5 |         20903.1 |     Take profit |           7.248
      000000050 |           19251 |           19255 |            Long |           0.071  |         20503.0 |         20400.0 |       Stop loss | -7.2789200000000305
      000000051 |           19294 |           19307 |            Long |           0.072  |         20302.7 |         20407.0 |     Take profit |           7.309
      000000052 |           19423 |           19463 |           Short |            0.07  |         20961.2 |         20841.3 |     Take profit |           7.337
      000000053 |           19542 |           19544 |           Short |            0.07  |         20972.0 |         21117.6 |       Stop loss | -7.340200000000041
      000000054 |           19613 |           19624 |            Long |           0.071  |         20680.0 |         20784.4 |     Take profit |           7.341
      000000055 |           19712 |           19744 |           Short |           0.071  |         20901.3 |         20795.2 |     Take profit |            7.42
      000000056 |           19774 |           19828 |            Long |           0.072  |         20716.5 |         20829.6 |     Take profit |           7.458
      000000057 |           19907 |           19942 |           Short |           0.072  |         20852.4 |         20959.9 |       Stop loss | -7.506719999999884
      000000058 |           20030 |           20039 |           Short |           0.071  |         20941.5 |         21048.6 |       Stop loss | -7.434409999999938
      000000059 |           20069 |           20115 |           Short |            0.07  |         21024.0 |         20916.7 |     Take profit |           7.358
      000000060 |           20144 |           20159 |            Long |           0.072  |         20652.2 |         20756.3 |     Take profit |           7.435
      000000061 |           20188 |           20220 |            Long |           0.072  |         20686.5 |         20790.0 |     Take profit |           7.447
      000000062 |           20300 |           20386 |            Long |           0.073  |         20658.9 |         20762.8 |     Take profit |            7.54
      000000063 |           20434 |           20612 |           Short |           0.073  |         20773.5 |         20662.8 |     Take profit |           7.583
      000000064 |           20642 |           20710 |            Long |           0.074  |         20656.6 |         20771.2 |     Take profit |           7.643
