
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             790 |             792 |           Short |           1.831  |        16560.56 |        16558.94 |       Stop loss | 3.4867733000036023
      000000003 |             825 |             828 |            Long |           1.839  |        16540.89 |         16544.2 |       Stop loss | 6.998066235000304
      000000004 |             871 |             874 |           Short |            1.85  |        16557.32 |         16558.3 |       Stop loss | -1.4349413999954779
      000000005 |             975 |             976 |           Short |           1.846  |        16567.04 |        16568.72 |       Stop loss | -3.0643599999997315
      000000006 |            1027 |            1028 |           Short |           1.841  |        16569.03 |        16571.15 |       Stop loss |          -3.903
      000000007 |            1068 |            1070 |           Short |           1.832  |        16580.73 |        16585.92 |       Stop loss |          -9.508
      000000008 |            1139 |            1140 |           Short |           1.814  |        16591.88 |        16601.63 |       Stop loss |         -17.687
      000000009 |            1293 |            1296 |            Long |           1.781  |        16597.72 |         16601.3 |       Stop loss | 8.441206227994174
      000000010 |            1410 |            1411 |           Short |           1.795  |        16609.86 |        16617.51 |       Stop loss | -2.9796999999997387
      000000011 |            1443 |            1444 |           Short |           1.789  |        16622.58 |         16624.5 |       Stop loss |          -3.435
      000000012 |            1508 |            1509 |            Long |           1.789  |        16560.38 |        16556.37 |       Stop loss | -2.9697399999997396
      000000013 |            1631 |            1633 |           Short |            1.78  |        16591.48 |        16591.97 |       Stop loss | 0.1620280599974649
      000000014 |            1669 |            1672 |           Short |           1.778  |        16617.87 |        16619.39 |       Stop loss |          -2.703
      000000015 |            1957 |            1958 |           Short |           1.759  |        16746.43 |        16753.91 |       Stop loss | -2.9375299999969284
      000000016 |            2147 |            2148 |           Short |           1.755  |        16738.47 |        16741.72 |       Stop loss | -2.9308499999969353
      000000017 |            2243 |            2253 |            Long |           1.752  |        16716.88 |        16712.58 |       Stop loss | 1.6434653520017455
      000000018 |            2308 |            2309 |            Long |           1.757  |        16691.85 |         16690.0 |       Stop loss | -2.934189999996932
      000000019 |            2384 |            2387 |           Short |           1.747  |        16742.54 |         16741.3 |       Stop loss | 5.094610135002368
      000000020 |            2437 |            2438 |           Short |           1.757  |        16735.92 |        16738.55 |       Stop loss | -2.9341900000033236
      000000021 |            2752 |            2755 |           Short |           1.752  |        16735.07 |        16737.46 |       Stop loss | -2.756766744002147
      000000022 |            2800 |            2801 |            Long |           1.749  |        16716.31 |        16713.84 |       Stop loss | -2.920830000003309
      000000023 |            2857 |            2858 |            Long |           1.745  |        16699.17 |        16696.29 |       Stop loss | -2.914149999996953
