
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             825 |             828 |            Long |           1.833  |        16540.89 |         16544.2 |       Stop loss |           6.067
      000000003 |             895 |             896 |            Long |           1.843  |        16547.49 |         16542.6 |       Stop loss | -3.040950000002682
      000000004 |             976 |             977 |           Short |           1.836  |        16567.39 |        16570.76 |       Stop loss | -3.047759999999733
      000000005 |            1067 |            1068 |           Short |           1.829  |        16579.98 |         16582.0 |       Stop loss | -3.0361399999997336
      000000006 |            1187 |            1189 |           Short |            1.82  |        16606.77 |        16609.53 |       Stop loss | -1.8757174799987844
      000000007 |            1346 |            1348 |            Long |           1.818  |         16595.3 |        16594.06 |       Stop loss | -0.07216005600382779
      000000008 |            1475 |            1477 |            Long |           1.818  |        16596.62 |        16592.05 |       Stop loss | -3.0178799999997357
      000000009 |            1614 |            1615 |           Short |           1.813  |        16592.88 |        16595.92 |       Stop loss | -3.009579999999736
      000000010 |            1683 |            1684 |           Short |             1.8  |        16662.22 |        16674.34 |       Stop loss | -3.005999999996857
      000000011 |            1883 |            1884 |           Short |           1.787  |        16728.31 |        16730.83 |       Stop loss |          -4.503
      000000012 |            2160 |            2161 |           Short |           1.778  |         16736.1 |         16738.9 |       Stop loss |          -4.978
      000000013 |            2493 |            2494 |            Long |           1.772  |        16713.88 |        16711.95 |       Stop loss | -2.9592400000033523
      000000014 |            2549 |            2551 |            Long |           1.767  |         16711.8 |        16707.47 |       Stop loss | -0.7797824009993055
      000000015 |            2589 |            2596 |           Short |           1.764  |        16724.66 |        16728.75 |       Stop loss | 0.06651161999792385
      000000016 |            2775 |            2778 |           Short |           1.761  |        16755.32 |        16742.13 |       Stop loss | 24.06582952200309
      000000017 |            3059 |            3060 |            Long |           1.813  |        16674.03 |        16669.23 |       Stop loss | -3.027709999996834
      000000018 |            3263 |            3265 |           Short |             1.8  |        16744.44 |        16746.41 |       Stop loss | -3.006000000003405
      000000019 |            3446 |            3449 |           Short |           1.796  |        16730.52 |        16728.76 |       Stop loss | 7.3591549000018714
      000000020 |            3521 |            3524 |           Short |           1.808  |        16737.28 |        16740.05 |       Stop loss | -2.863363951997075
      000000021 |            3662 |            3666 |            Long |           1.805  |        16717.83 |        16728.77 |       Stop loss | 22.737205949992713
      000000022 |            3795 |            3796 |            Long |           1.851  |        16669.93 |        16665.23 |       Stop loss | -3.0911700000035016
