
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss |          10.468
      000000002 |             790 |             792 |           Short |            1.83  |        16560.56 |        16558.94 |       Stop loss | 3.4848690000036004
      000000003 |             823 |             825 |            Long |           1.839  |        16543.56 |        16540.24 |       Stop loss | -3.034350000002676
      000000004 |             856 |             861 |           Short |           1.832  |         16554.1 |        16555.88 |       Stop loss | -3.0411199999997334
      000000005 |             897 |             904 |            Long |           1.828  |        16542.56 |        16542.78 |       Stop loss | 1.7649010959992883
      000000006 |             936 |             947 |            Long |           1.831  |         16544.5 |        16546.19 |       Stop loss | 8.34007499899649
      000000007 |            1022 |            1023 |           Short |           1.843  |         16566.7 |        16568.62 |       Stop loss | -3.0593799999997318
      000000008 |            1150 |            1151 |           Short |           1.834  |        16601.64 |        16605.22 |       Stop loss |          -6.566
      000000009 |            1258 |            1259 |            Long |           1.822  |        16605.46 |        16601.04 |       Stop loss | -3.0245199999997348
      000000010 |            1294 |            1296 |            Long |           1.817  |        16597.48 |         16601.3 |       Stop loss | 9.047911395996966
      000000011 |            1559 |            1560 |            Long |           1.837  |        16565.04 |        16560.12 |       Stop loss |          -9.038
      000000012 |            1629 |            1633 |           Short |           1.817  |        16593.41 |        16591.97 |       Stop loss | 3.672206058997941
      000000013 |            1693 |            1694 |           Short |           1.819  |        16642.72 |        16647.96 |       Stop loss | -3.0195399999997354
      000000014 |            1877 |            1878 |           Short |           1.804  |        16730.09 |        16734.33 |       Stop loss | -3.01267999999685
      000000015 |            1985 |            1986 |           Short |           1.797  |         16739.7 |        16744.91 |       Stop loss | -3.000989999996862
      000000016 |            2029 |            2030 |            Long |           1.794  |        16717.31 |        16714.72 |       Stop loss | -2.995980000003394
      000000017 |            2066 |            2068 |           Short |           1.787  |        16736.17 |        16738.09 |       Stop loss | 10.448830244993463
      000000018 |            2102 |            2106 |           Short |           1.806  |        16729.61 |        16724.33 |       Stop loss | 9.874761918001466
      000000019 |            2147 |            2148 |           Short |           1.823  |        16738.47 |        16741.72 |       Stop loss | -3.0444099999968164
      000000020 |            2248 |            2253 |            Long |            1.82  |        16718.42 |        16712.58 |       Stop loss | -1.0955471799931547
      000000021 |            2321 |            2325 |            Long |            1.82  |        16698.12 |         16700.0 |       Stop loss | 5.040934080001971
      000000022 |            2418 |            2422 |           Short |           1.825  |        16733.01 |        16734.09 |       Stop loss | -0.15173414999908344
      000000023 |            2535 |            2537 |            Long |           1.828  |        16710.38 |        16708.42 |       Stop loss | -3.0527600000034583
      000000024 |            2584 |            2590 |           Short |            1.82  |        16726.35 |        16725.49 |       Stop loss | 2.2707357399998003
      000000025 |            2627 |            2628 |           Short |           1.824  |        16727.65 |        16730.29 |       Stop loss | -3.046079999996815
      000000026 |            2853 |            2854 |            Long |            1.82  |        16712.45 |         16701.9 |       Stop loss |         -19.201
      000000027 |            2945 |            2946 |            Long |           1.789  |        16684.53 |        16679.01 |       Stop loss | -2.987629999996876
      000000028 |            2993 |            2994 |            Long |           1.785  |        16670.43 |        16667.25 |       Stop loss | -2.980950000003377
      000000029 |            3161 |            3164 |            Long |           1.778  |        16688.72 |        16687.17 |       Stop loss |          -2.756
      000000030 |            3246 |            3248 |           Short |           1.767  |        16747.89 |        16744.75 |       Stop loss | 9.799663611002194
      000000031 |            3368 |            3369 |            Long |           1.787  |        16722.04 |        16717.95 |       Stop loss | -2.9842900000033805
      000000032 |            3476 |            3480 |           Short |           1.778  |        16753.92 |        16746.94 |       Stop loss | 20.404191093996705
      000000033 |            3592 |            3596 |            Long |           1.818  |        16722.61 |        16721.62 |       Stop loss | 0.9772077239952051
      000000034 |            3658 |            3666 |            Long |           1.822  |         16706.8 |        16728.77 |     Take profit |          30.446
      000000035 |            3708 |            3710 |           Short |           1.874  |        16729.43 |         16731.2 |       Stop loss |          -3.317
      000000036 |            3761 |            3762 |           Short |           1.863  |        16770.47 |         16773.0 |       Stop loss | -3.129840000000542
      000000037 |            3831 |            3832 |            Long |            1.87  |        16655.64 |        16650.13 |       Stop loss | -3.1228999999967346
      000000038 |            3882 |            3884 |            Long |           1.865  |        16653.07 |        16650.58 |       Stop loss |          -4.644
      000000039 |            3936 |            3938 |            Long |           1.859  |        16636.47 |        16631.81 |       Stop loss | -3.0859399999997295
      000000040 |            4029 |            4030 |            Long |           1.853  |         16638.7 |        16632.95 |       Stop loss | -3.0759799999997304
      000000041 |            4098 |            4099 |           Short |           1.845  |        16657.07 |        16660.99 |       Stop loss | -3.08115000000349
      000000042 |            4184 |            4185 |           Short |           1.838  |        16671.12 |        16673.57 |       Stop loss | -3.069460000003477
      000000043 |            4234 |            4240 |            Long |           1.834  |        16661.89 |        16662.93 |       Stop loss |           1.907
      000000044 |            4280 |            4286 |           Short |           1.835  |        16683.98 |        16679.34 |       Stop loss | 14.464492095001496
      000000045 |            4347 |            4348 |           Short |           1.862  |        16674.22 |        16676.02 |       Stop loss | -3.109539999996749
      000000046 |            4398 |            4399 |           Short |           1.852  |        16711.36 |         16733.4 |       Stop loss | -3.092839999996766
      000000047 |            4457 |            4458 |           Short |           1.846  |         16717.6 |        16721.58 |       Stop loss | -3.082820000003492
      000000048 |            4639 |            4640 |           Short |           1.826  |        16850.43 |        16854.19 |       Stop loss | -3.0859399999976085
      000000049 |            4675 |            4676 |           Short |            1.82  |        16855.09 |        16858.81 |       Stop loss |           -6.77
      000000050 |            4756 |            4760 |           Short |           1.806  |        16870.79 |        16862.99 |       Stop loss | 20.433483126000983
      000000051 |            4821 |            4822 |           Short |            1.84  |        16889.77 |         16919.0 |       Stop loss |         -53.783
      000000052 |            4912 |            4913 |            Long |            1.75  |        16841.91 |        16835.85 |       Stop loss | -2.9400000000005093
      000000053 |            4988 |            4990 |            Long |           1.744  |        16840.55 |        16841.89 |       Stop loss | 4.561458159995964
      000000054 |            5157 |            5160 |            Long |           1.754  |        16824.51 |        16822.72 |       Stop loss |           -3.14
      000000055 |            5400 |            5401 |           Short |           1.743  |        16883.49 |        16887.21 |       Stop loss | -2.9456699999977176
      000000056 |            5431 |            5432 |           Short |           1.733  |        16927.34 |        16929.87 |       Stop loss |          -4.384
      000000057 |            5490 |            5491 |            Long |           1.736  |        16817.66 |         16807.0 |       Stop loss | -2.9164800000005053
      000000058 |            5553 |            5554 |            Long |            1.73  |        16829.75 |        16827.78 |       Stop loss | -2.9064000000005032
      000000059 |            5715 |            5718 |           Short |           1.723  |        16842.38 |        16838.71 |       Stop loss |           6.323
      000000060 |            5753 |            5754 |           Short |           1.733  |        16856.73 |        16859.01 |       Stop loss | -2.9287699999977304
      000000061 |            5909 |            5910 |            Long |           1.731  |        16828.59 |        16826.81 |       Stop loss | -2.908080000000504
      000000062 |            5998 |            6000 |            Long |           1.726  |        16826.63 |         16823.2 |       Stop loss | -1.040382746002877
      000000063 |            6059 |            6064 |           Short |           1.723  |        16836.41 |        16838.45 |       Stop loss | -2.4528886450057508
      000000064 |            6130 |            6138 |            Long |           1.719  |         16837.4 |        16835.38 |       Stop loss | 0.6980016690030134
