
## START ### 

ID              | Open Time       | Close Time      | Side            | Amount          | Open Price      | Close Price     | Close Type      | Capital Change 
      000000001 |             751 |             760 |           Short |           1.811  |        16563.84 |        16558.06 |       Stop loss | 10.747153125001317
      000000002 |             790 |             792 |           Short |           1.831  |        16560.56 |        16558.94 |       Stop loss | 3.4867733000036023
      000000003 |             823 |             825 |            Long |           1.839  |        16543.56 |        16540.24 |       Stop loss | -3.034350000002676
      000000004 |             896 |             897 |            Long |           1.834  |        16543.61 |        16540.85 |       Stop loss | -3.026100000002669
      000000005 |             927 |             935 |            Long |           1.829  |        16538.36 |        16543.69 |       Stop loss | 10.032888050000235
      000000006 |             965 |             966 |           Short |           1.844  |         16562.6 |        16571.46 |       Stop loss | -3.061039999999732
      000000007 |             996 |            1003 |           Short |           1.837  |        16575.43 |        16565.68 |       Stop loss | 21.536611415003122
      000000008 |            1033 |            1035 |           Short |           1.877  |        16570.09 |         16572.5 |       Stop loss | -3.1158199999997267
      000000009 |            1065 |            1068 |           Short |           1.869  |        16585.69 |         16582.0 |       Stop loss | 8.059180331993728
      000000010 |            1098 |            1101 |           Short |           1.883  |        16589.43 |        16592.41 |       Stop loss | 1.301702835999098
      000000011 |            1131 |            1133 |           Short |           1.886  |        16591.15 |        16592.26 |       Stop loss | -1.6767256680021965
      000000012 |            1163 |            1165 |           Short |           1.881  |        16607.97 |        16609.81 |       Stop loss | -2.540790845999185
      000000013 |            1195 |            1197 |           Short |           1.877  |        16600.77 |        16598.48 |       Stop loss | 5.4064676290024725
      000000014 |            1227 |            1228 |           Short |           1.885  |        16613.69 |        16617.91 |       Stop loss | -3.1290999999997258
      000000015 |            1337 |            1338 |            Long |           1.882  |         16593.9 |        16586.24 |       Stop loss | -3.124119999999726
      000000016 |            1389 |            1390 |           Short |           1.874  |        16615.74 |         16625.0 |       Stop loss | -3.1108399999997274
      000000017 |            1435 |            1436 |           Short |           1.868  |         16613.6 |         16621.0 |       Stop loss | -3.1008799999997283
      000000018 |            1467 |            1469 |            Long |           1.865  |        16591.79 |        16587.82 |       Stop loss | -3.0958999999997285
      000000019 |            1499 |            1500 |            Long |            1.86  |        16588.35 |        16576.86 |       Stop loss | -3.0875999999997297
      000000020 |            1530 |            1531 |            Long |           1.857  |        16564.78 |        16563.04 |       Stop loss | -3.08261999999973
      000000021 |            1561 |            1563 |            Long |           1.852  |        16559.78 |        16567.07 |       Stop loss | 13.877234164003807
      000000022 |            1654 |            1655 |           Short |           1.873  |         16597.6 |        16600.99 |       Stop loss | -3.1091799999997276
      000000023 |            1685 |            1686 |           Short |           1.859  |        16669.89 |        16674.84 |       Stop loss | -3.1045300000035168
